frame,dist_read,disk_write,rate
248,5808,1911,0.0058
249,5795,1908,0.0058
250,5777,1903,0.0058
251,5757,1899,0.0058
252,5742,1893,0.0057
253,5730,1888,0.0057
254,5705,1878,0.0057
255,5694,1872,0.0057
256,5673,1866,0.0057
257,5661,1864,0.0057
258,5648,1857,0.0056
259,5635,1852,0.0056
260,5621,1848,0.0056
261,5610,1842,0.0056
262,5593,1837,0.0056
263,5581,1834,0.0056
264,5568,1831,0.0056
265,5557,1829,0.0056
266,5538,1823,0.0055
267,5519,1817,0.0055
268,5508,1814,0.0055
269,5489,1809,0.0055
270,5471,1803,0.0055
271,5461,1800,0.0055
272,5453,1797,0.0055
273,5440,1793,0.0054
274,5429,1789,0.0054
275,5421,1787,0.0054
276,5413,1786,0.0054
277,5400,1782,0.0054
278,5385,1777,0.0054
279,5378,1777,0.0054
280,5365,1774,0.0054
281,5352,1771,0.0054
282,5342,1766,0.0053
283,5328,1761,0.0053
284,5316,1758,0.0053
285,5304,1758,0.0053
286,5296,1755,0.0053
287,5285,1750,0.0053
288,5277,1746,0.0053
289,5264,1741,0.0053
290,5256,1740,0.0053
291,5245,1738,0.0052
292,5231,1737,0.0052
293,5220,1732,0.0052
294,5211,1728,0.0052
295,5204,1727,0.0052
296,5191,1721,0.0052
297,5184,1717,0.0052
298,5176,1716,0.0052
299,5168,1713,0.0052
300,5159,1709,0.0052
301,5150,1706,0.0052
302,5141,1703,0.0051
303,5132,1699,0.0051
304,5123,1693,0.0051
305,5115,1690,0.0051
306,5104,1689,0.0051
307,5097,1685,0.0051
308,5089,1682,0.0051
309,5074,1679,0.0051
310,5065,1675,0.0051
311,5060,1673,0.0051
312,5051,1668,0.0051
313,5037,1662,0.005
314,5021,1652,0.005
315,5007,1645,0.005
316,4992,1637,0.005
317,4985,1632,0.005
318,4979,1630,0.005
319,4963,1622,0.005
320,4954,1615,0.005
321,4943,1610,0.0049
322,4934,1604,0.0049
323,4925,1598,0.0049
324,4914,1593,0.0049
325,4905,1589,0.0049
326,4891,1583,0.0049
327,4881,1575,0.0049
328,4874,1570,0.0049
329,4861,1562,0.0049
330,4852,1556,0.0049
331,4838,1550,0.0048
332,4828,1547,0.0048
333,4818,1545,0.0048
334,4801,1538,0.0048
335,4783,1531,0.0048
336,4776,1527,0.0048
337,4762,1522,0.0048
338,4753,1519,0.0048
339,4740,1512,0.0047
340,4721,1504,0.0047
341,4707,1494,0.0047
342,4699,1490,0.0047
343,4680,1482,0.0047
344,4665,1475,0.0047
345,4657,1472,0.0047
346,4649,1469,0.0046
347,4640,1467,0.0046
348,4629,1461,0.0046
349,4617,1455,0.0046
350,4602,1447,0.0046
351,4583,1439,0.0046
352,4575,1438,0.0046
353,4559,1434,0.0046
354,4549,1431,0.0045
355,4541,1429,0.0045
356,4530,1423,0.0045
357,4518,1416,0.0045
358,4509,1412,0.0045
359,4503,1410,0.0045
360,4496,1407,0.0045
361,4488,1406,0.0045
362,4479,1406,0.0045
363,4469,1404,0.0045
364,4459,1401,0.0045
365,4454,1396,0.0045
366,4442,1390,0.0044
367,4436,1388,0.0044
368,4425,1381,0.0044
369,4421,1380,0.0044
370,4416,1377,0.0044
371,4410,1377,0.0044
372,4405,1375,0.0044
373,4401,1374,0.0044
374,4395,1371,0.0044
375,4390,1371,0.0044
376,4386,1371,0.0044
377,4381,1369,0.0044
378,4377,1367,0.0044
379,4369,1364,0.0044
380,4366,1363,0.0044
381,4360,1361,0.0044
382,4355,1359,0.0044
383,4354,1358,0.0044
384,4350,1357,0.0043
385,4344,1355,0.0043
386,4339,1353,0.0043
387,4333,1352,0.0043
388,4330,1350,0.0043
389,4325,1348,0.0043
390,4323,1348,0.0043
391,4319,1348,0.0043
392,4316,1348,0.0043
393,4313,1346,0.0043
394,4307,1346,0.0043
395,4300,1346,0.0043
396,4297,1345,0.0043
397,4294,1345,0.0043
398,4288,1343,0.0043
399,4284,1342,0.0043
400,4278,1341,0.0043
401,4269,1335,0.0043
402,4265,1334,0.0043
403,4261,1334,0.0043
404,4253,1333,0.0043
405,4250,1331,0.0043
406,4244,1331,0.0042
407,4238,1329,0.0042
408,4236,1329,0.0042
409,4233,1329,0.0042
410,4225,1323,0.0042
411,4220,1321,0.0042
412,4215,1320,0.0042
413,4211,1319,0.0042
414,4205,1316,0.0042
415,4199,1316,0.0042
416,4189,1312,0.0042
417,4179,1309,0.0042
418,4177,1308,0.0042
419,4172,1306,0.0042
420,4167,1305,0.0042
421,4160,1304,0.0042
422,4152,1303,0.0042
423,4143,1303,0.0041
424,4139,1302,0.0041
425,4132,1300,0.0041
426,4121,1297,0.0041
427,4115,1295,0.0041
428,4106,1294,0.0041
429,4101,1292,0.0041
430,4095,1289,0.0041
431,4091,1288,0.0041
432,4086,1285,0.0041
433,4078,1282,0.0041
434,4070,1279,0.0041
435,4061,1278,0.0041
436,4052,1274,0.0041
437,4045,1274,0.004
438,4041,1273,0.004
439,4034,1270,0.004
440,4031,1269,0.004
441,4026,1268,0.004
442,4022,1268,0.004
443,4016,1268,0.004
444,4009,1267,0.004
445,4005,1265,0.004
446,4000,1261,0.004
447,3992,1259,0.004
448,3985,1259,0.004
449,3973,1257,0.004
450,3965,1255,0.004
451,3962,1252,0.004
452,3952,1247,0.004
453,3942,1245,0.0039
454,3938,1245,0.0039
455,3935,1244,0.0039
