frame,dist_read,disk_write,rate
247,6125,2021,0.0061
248,6117,2019,0.0061
249,6081,2006,0.0061
250,6066,1999,0.0061
251,6076,2015,0.0061
252,6051,2003,0.0061
253,6043,2007,0.006
254,6023,2003,0.006
255,5982,1985,0.006
256,5980,1973,0.006
257,5960,1965,0.006
258,5916,1953,0.0059
259,5899,1959,0.0059
260,5867,1953,0.0059
261,5838,1942,0.0058
262,5847,1946,0.0058
263,5832,1944,0.0058
264,5820,1943,0.0058
265,5788,1919,0.0058
266,5768,1919,0.0058
267,5721,1910,0.0057
268,5740,1915,0.0057
269,5702,1898,0.0057
270,5677,1890,0.0057
271,5665,1883,0.0057
272,5641,1879,0.0056
273,5623,1868,0.0056
274,5593,1866,0.0056
275,5593,1867,0.0056
276,5584,1869,0.0056
277,5578,1861,0.0056
278,5546,1850,0.0055
279,5534,1845,0.0055
280,5534,1837,0.0055
281,5519,1825,0.0055
282,5494,1822,0.0055
283,5465,1821,0.0055
284,5477,1823,0.0055
285,5469,1827,0.0055
286,5466,1824,0.0055
287,5437,1816,0.0054
288,5405,1806,0.0054
289,5422,1807,0.0054
290,5412,1798,0.0054
291,5371,1785,0.0054
292,5376,1794,0.0054
293,5365,1793,0.0054
294,5352,1782,0.0054
295,5365,1779,0.0054
296,5347,1775,0.0053
297,5327,1760,0.0053
298,5324,1764,0.0053
299,5328,1765,0.0053
300,5312,1752,0.0053
301,5287,1748,0.0053
302,5270,1746,0.0053
303,5256,1741,0.0053
304,5227,1730,0.0052
305,5228,1725,0.0052
306,5215,1715,0.0052
307,5198,1711,0.0052
308,5179,1704,0.0052
309,5179,1704,0.0052
310,5174,1700,0.0052
311,5126,1690,0.0051
312,5114,1677,0.0051
313,5101,1679,0.0051
314,5105,1676,0.0051
315,5103,1678,0.0051
316,5098,1677,0.0051
317,5080,1673,0.0051
318,5052,1667,0.0051
319,5039,1655,0.005
320,5008,1641,0.005
321,5009,1639,0.005
322,4992,1630,0.005
323,4993,1625,0.005
324,4966,1618,0.005
325,4967,1628,0.005
326,4947,1613,0.0049
327,4936,1611,0.0049
328,4933,1604,0.0049
329,4908,1593,0.0049
330,4919,1596,0.0049
331,4910,1594,0.0049
332,4897,1587,0.0049
333,4855,1572,0.0049
334,4854,1571,0.0049
335,4851,1573,0.0049
336,4835,1572,0.0048
337,4844,1573,0.0048
338,4824,1562,0.0048
339,4816,1569,0.0048
340,4807,1567,0.0048
341,4798,1559,0.0048
342,4785,1553,0.0048
343,4781,1554,0.0048
344,4783,1545,0.0048
345,4771,1539,0.0048
346,4767,1545,0.0048
347,4741,1531,0.0047
348,4742,1530,0.0047
349,4735,1527,0.0047
350,4738,1531,0.0047
351,4711,1527,0.0047
352,4701,1524,0.0047
353,4697,1524,0.0047
354,4684,1516,0.0047
355,4677,1515,0.0047
356,4686,1523,0.0047
357,4685,1520,0.0047
358,4682,1517,0.0047
359,4675,1514,0.0047
360,4658,1505,0.0047
361,4660,1505,0.0047
362,4662,1509,0.0047
363,4641,1494,0.0046
364,4638,1502,0.0046
365,4634,1496,0.0046
366,4626,1493,0.0046
367,4622,1493,0.0046
368,4620,1491,0.0046
369,4620,1484,0.0046
370,4629,1488,0.0046
371,4617,1484,0.0046
372,4604,1477,0.0046
373,4590,1474,0.0046
374,4586,1474,0.0046
375,4579,1477,0.0046
376,4568,1476,0.0046
377,4563,1470,0.0046
378,4551,1469,0.0046
379,4555,1463,0.0046
380,4547,1464,0.0045
381,4531,1451,0.0045
382,4521,1450,0.0045
383,4526,1457,0.0045
384,4522,1454,0.0045
385,4532,1457,0.0045
386,4527,1455,0.0045
387,4520,1457,0.0045
388,4502,1444,0.0045
389,4499,1443,0.0045
390,4496,1441,0.0045
391,4485,1442,0.0045
392,4469,1433,0.0045
393,4459,1430,0.0045
394,4460,1433,0.0045
395,4451,1431,0.0045
396,4451,1429,0.0045
397,4464,1428,0.0045
398,4454,1421,0.0045
399,4443,1421,0.0044
400,4444,1418,0.0044
401,4433,1418,0.0044
402,4433,1411,0.0044
403,4430,1411,0.0044
404,4415,1405,0.0044
405,4418,1401,0.0044
406,4419,1400,0.0044
407,4431,1410,0.0044
408,4414,1403,0.0044
409,4419,1400,0.0044
410,4409,1404,0.0044
411,4389,1394,0.0044
412,4390,1390,0.0044
413,4386,1387,0.0044
414,4385,1384,0.0044
415,4357,1379,0.0044
416,4344,1375,0.0043
417,4325,1363,0.0043
418,4316,1368,0.0043
419,4307,1369,0.0043
420,4322,1369,0.0043
421,4322,1370,0.0043
422,4323,1375,0.0043
423,4312,1374,0.0043
424,4306,1368,0.0043
425,4298,1362,0.0043
426,4286,1365,0.0043
427,4276,1363,0.0043
428,4273,1361,0.0043
429,4257,1356,0.0043
430,4244,1345,0.0042
431,4244,1347,0.0042
432,4245,1359,0.0042
433,4252,1369,0.0043
434,4257,1368,0.0043
435,4260,1370,0.0043
436,4258,1372,0.0043
437,4251,1371,0.0043
438,4240,1369,0.0042
439,4233,1365,0.0042
440,4228,1360,0.0042
441,4231,1358,0.0042
442,4224,1353,0.0042
443,4215,1353,0.0042
444,4211,1349,0.0042
445,4192,1336,0.0042
446,4196,1335,0.0042
447,4166,1321,0.0042
448,4157,1312,0.0042
449,4159,1316,0.0042
450,4167,1317,0.0042
451,4172,1320,0.0042
452,4181,1325,0.0042
453,4181,1320,0.0042
454,4181,1320,0.0042
455,4160,1311,0.0042
456,4138,1300,0.0041
457,4132,1303,0.0041
458,4125,1300,0.0041
459,4119,1293,0.0041
460,4111,1290,0.0041
461,4112,1295,0.0041
462,4100,1292,0.0041
463,4087,1288,0.0041
464,4076,1282,0.0041
465,4061,1280,0.0041
466,4066,1288,0.0041
467,4062,1290,0.0041
468,4072,1295,0.0041
469,4071,1297,0.0041
470,4066,1295,0.0041
471,4061,1294,0.0041
472,4053,1290,0.0041
473,4043,1289,0.004
474,4045,1287,0.004
475,4031,1281,0.004
476,4027,1283,0.004
477,4022,1285,0.004
478,4017,1279,0.004
479,3992,1275,0.004
480,3988,1275,0.004
481,3973,1269,0.004
482,3951,1263,0.004
483,3948,1262,0.0039
484,3939,1256,0.0039
485,3934,1260,0.0039
486,3933,1257,0.0039
487,3932,1260,0.0039
488,3934,1259,0.0039
489,3941,1258,0.0039
490,3929,1255,0.0039
491,3916,1248,0.0039
492,3896,1242,0.0039
493,3893,1241,0.0039
494,3894,1239,0.0039
495,3902,1240,0.0039
496,3912,1241,0.0039
497,3914,1238,0.0039
498,3917,1234,0.0039
499,3907,1234,0.0039
500,3898,1235,0.0039
501,3893,1231,0.0039
502,3880,1227,0.0039
503,3870,1223,0.0039
504,3860,1222,0.0039
505,3855,1222,0.0039
506,3852,1220,0.0039
507,3847,1220,0.0038
508,3833,1220,0.0038
509,3819,1211,0.0038
510,3797,1211,0.0038
511,3792,1211,0.0038
512,3795,1218,0.0038
513,3782,1218,0.0038
514,3787,1214,0.0038
515,3780,1216,0.0038
516,3786,1216,0.0038
517,3793,1218,0.0038
518,3775,1211,0.0038
519,3756,1203,0.0038
520,3735,1195,0.0037
521,3723,1195,0.0037
522,3712,1192,0.0037
523,3697,1187,0.0037
524,3690,1188,0.0037
525,3682,1183,0.0037
526,3685,1184,0.0037
527,3686,1183,0.0037
528,3692,1184,0.0037
529,3690,1183,0.0037
530,3689,1184,0.0037
531,3691,1187,0.0037
532,3685,1190,0.0037
533,3681,1189,0.0037
534,3680,1190,0.0037
535,3682,1190,0.0037
536,3676,1190,0.0037
537,3678,1187,0.0037
538,3662,1184,0.0037
539,3656,1180,0.0037
540,3656,1179,0.0037
541,3653,1178,0.0037
542,3649,1175,0.0036
543,3638,1172,0.0036
544,3641,1171,0.0036
545,3620,1164,0.0036
546,3596,1163,0.0036
547,3596,1161,0.0036
548,3573,1156,0.0036
549,3564,1152,0.0036
550,3569,1151,0.0036
551,3556,1146,0.0036
552,3552,1143,0.0036
553,3549,1141,0.0035
554,3537,1138,0.0035
555,3541,1137,0.0035
556,3536,1136,0.0035
557,3538,1136,0.0035
558,3542,1134,0.0035
559,3546,1135,0.0035
560,3542,1135,0.0035
561,3544,1134,0.0035
562,3541,1135,0.0035
563,3539,1137,0.0035
564,3544,1138,0.0035
565,3537,1137,0.0035
566,3552,1139,0.0036
567,3552,1142,0.0036
568,3546,1140,0.0035
569,3542,1137,0.0035
570,3536,1132,0.0035
571,3530,1132,0.0035
572,3528,1128,0.0035
573,3527,1127,0.0035
574,3516,1119,0.0035
575,3506,1118,0.0035
576,3501,1118,0.0035
577,3479,1111,0.0035
578,3470,1110,0.0035
579,3464,1106,0.0035
580,3461,1105,0.0035
581,3453,1103,0.0035
582,3450,1102,0.0034
583,3452,1102,0.0035
584,3449,1098,0.0034
585,3449,1098,0.0034
586,3449,1098,0.0034
587,3447,1100,0.0034
588,3443,1099,0.0034
589,3447,1104,0.0034
590,3444,1105,0.0034
591,3445,1104,0.0034
592,3441,1104,0.0034
593,3438,1104,0.0034
594,3450,1108,0.0034
595,3439,1106,0.0034
596,3437,1105,0.0034
597,3440,1107,0.0034
598,3432,1104,0.0034
599,3439,1110,0.0034
600,3431,1111,0.0034
